No.,Size,Color,Clarity,Certification,Price
137,1.01,H,VS2,GIA,8873
72,0.71,H,VVS2,GIA,5193
211,0.5,G,IF,IGI,3652
271,0.81,H,IF,HRD,7358
143,1.02,G,VVS2,GIA,10090
24,0.35,H,VS2,GIA,1255
13,0.33,E,VS2,GIA,1327
110,0.76,D,IF,GIA,9885
263,0.8,F,VS1,HRD,6905
231,0.5,G,VVS1,HRD,3432
155,0.18,G,IF,IGI,803
285,1,G,VVS2,HRD,9896
92,0.7,F,VS2,GIA,5122
50,0.53,G,VVS2,GIA,3407
154,0.18,G,IF,IGI,803
101,0.73,H,VS1,GIA,5030
33,0.45,I,VS1,GIA,1572
135,1.01,F,VS2,GIA,9573
158,0.19,D,VVS2,IGI,967
93,0.7,G,VS1,GIA,5122
114,0.83,E,VS2,GIA,7156
88,0.63,E,IF,GIA,6512
307,1.02,H,VS2,HRD,8959
182,0.25,I,IF,IGI,1082
242,0.58,H,IF,HRD,3792
288,1,H,VS1,HRD,9065
267,0.81,E,VVS1,HRD,8715
42,0.51,G,VS1,GIA,3205
217,0.56,G,VVS2,IGI,3470
200,0.32,H,IF,IGI,1462
144,1.03,E,VS1,GIA,10900
26,0.36,H,VVS2,GIA,1485
209,0.47,F,VVS2,IGI,2651
48,0.53,F,VVS2,GIA,3701
151,1.1,H,VS2,GIA,9646
15,0.34,E,VS1,GIA,1693
132,1.01,E,VS1,GIA,10692
227,1.01,G,VS1,IGI,9713
270,0.81,G,VS1,HRD,6495
35,0.48,G,VVS2,GIA,2532
266,0.8,H,VS1,HRD,6051
74,0.8,I,VVS2,GIA,5441
58,0.57,G,VVS2,GIA,3651
167,0.2,G,IF,IGI,880
31,0.41,F,VS1,GIA,1956
109,0.75,I,VS1,GIA,4355
39,0.5,F,VS1,GIA,3293
118,1,E,VS1,GIA,10588
89,0.7,E,VS1,GIA,5800
18,0.34,G,VS2,GIA,1269
254,0.7,G,VVS2,HRD,5510
192,0.3,E,VVS2,IGI,1580
249,0.65,I,VVS2,HRD,3643
90,0.7,F,VVS1,GIA,6285
234,0.52,H,VVS1,HRD,3130
251,0.7,E,VVS1,HRD,6867
4,0.3,G,VS1,GIA,1260
63,0.64,G,VVS1,GIA,4759
20,0.34,H,VS2,GIA,1222
224,0.76,F,VVS2,IGI,6095
241,0.57,H,VVS1,HRD,3415
176,0.23,F,IF,IGI,1147
94,0.7,H,VVS2,GIA,5122
148,1.06,G,VS2,GIA,9743
27,0.37,F,VS2,GIA,1420
80,0.9,I,VVS2,GIA,6682
207,0.41,I,VVS1,IGI,1616
298,1.01,F,VS1,HRD,10272
119,1,E,VS2,GIA,9757
25,0.36,F,VS1,GIA,1635
100,0.73,E,VS2,GIA,5738
59,0.59,G,VVS2,GIA,3773
302,1.01,H,VS1,HRD,9153
51,0.54,E,VS1,GIA,3767
278,1,D,VVS2,HRD,13775
262,0.8,F,IF,HRD,8611
40,0.5,G,VS1,GIA,3016
204,0.35,F,VVS1,IGI,1821
160,0.19,F,IF,IGI,967
68,0.7,I,VS2,GIA,3861
280,1,E,VVS2,HRD,11419
117,1,D,VS1,GIA,11419
173,0.21,G,IF,IGI,919
145,1.04,F,VS1,GIA,10571
299,1.01,G,VVS2,HRD,9993
281,1,E,VS1,HRD,10588
129,1,I,VS1,GIA,8095
142,1.02,F,VS2,GIA,9666
124,1,G,VVS2,GIA,9896
102,0.73,H,VS1,GIA,5030
245,0.6,H,VVS1,HRD,3925
276,0.85,G,VVS1,HRD,7711
305,1.02,F,VVS2,HRD,10796
284,1,G,VVS1,HRD,10450
49,0.53,F,VS1,GIA,3480
156,0.18,G,VVS2,IGI,705
230,0.5,F,VVS1,HRD,3778
283,1,F,VVS2,HRD,10588
60,0.6,F,VS1,GIA,4291
206,0.4,G,IF,IGI,2276
219,0.58,F,VVS1,IGI,4209
64,0.66,H,VVS1,GIA,4300
187,0.27,F,IF,IGI,1595
133,1.01,E,VS2,GIA,9853
178,0.24,H,IF,IGI,1108
14,0.33,I,VS2,GIA,1098
69,0.71,F,VVS2,GIA,5881
70,0.71,F,VS1,GIA,5586
95,0.71,D,VS1,GIA,6372
149,1.06,H,VS2,GIA,9302
195,0.3,H,VVS2,IGI,1218
8,0.31,G,VVS2,GIA,1427
294,1.01,D,VVS2,HRD,13909
220,0.58,G,VVS1,IGI,3821
286,1,G,VS2,HRD,9203
213,0.51,F,VVS1,IGI,3722
233,0.52,E,VS2,HRD,3346
22,0.35,F,VS1,GIA,1593
159,0.19,E,IF,IGI,1050
152,0.18,F,VVS1,IGI,823
71,0.71,F,VS2,GIA,5193
191,0.29,I,IF,IGI,1238
134,1.01,F,VS1,GIA,10272
225,0.78,G,VVS2,IGI,5937
308,1.09,I,VVS2,HRD,9107
181,0.25,H,IF,IGI,1149
53,0.55,E,VVS2,GIA,4138
96,0.71,E,VS1,GIA,5881
106,0.74,H,VS2,GIA,4585
223,0.71,D,VS1,IGI,6160
215,0.55,F,VVS2,IGI,3706
32,0.43,H,VVS2,GIA,1747
12,0.32,G,VS2,GIA,1202
153,0.18,F,VVS2,IGI,765
139,1.01,I,VVS2,GIA,8455
98,0.72,E,VS1,GIA,5961
65,0.7,F,VS1,GIA,5510
147,1.05,I,VVS2,GIA,8781
166,0.2,D,VS1,IGI,880
62,0.63,G,VVS2,GIA,4401
47,0.53,D,VS1,GIA,3921
170,0.21,D,VS1,IGI,919
177,0.23,G,IF,IGI,995
36,0.5,E,VS1,GIA,3501
214,0.52,I,IF,IGI,3095
115,0.9,F,VS1,GIA,7680
185,0.26,F,VVS2,IGI,1260
52,0.54,F,VVS1,GIA,4066
175,0.23,E,IF,IGI,1248
73,0.72,F,VS2,GIA,5263
274,0.85,F,VVS1,HRD,8359
61,0.62,E,VVS1,GIA,5845
248,0.64,H,VVS2,HRD,3785
188,0.27,H,IF,IGI,1233
240,0.57,F,VS2,HRD,3256
43,0.52,D,VS2,GIA,3490
86,0.57,H,VVS1,GIA,3415
164,0.19,G,VVS1,IGI,800
194,0.3,G,VVS1,IGI,1459
304,1.01,I,VS1,HRD,8175
55,0.55,G,VVS2,GIA,3529
244,0.6,G,VS2,HRD,3421
46,0.52,F,VS1,GIA,3418
107,0.75,D,VVS2,GIA,7368
105,0.74,G,VVS2,GIA,5815
264,0.8,G,VVS2,HRD,6905
256,0.71,G,IF,HRD,6372
113,0.8,I,VS2,GIA,4832
168,0.2,G,VS1,IGI,705
198,0.31,F,VVS1,IGI,1628
172,0.21,F,IF,IGI,1057
44,0.52,E,VS1,GIA,3635
289,1,H,VS2,HRD,8788
250,0.66,H,VVS1,HRD,4300
212,0.51,E,VVS2,IGI,3722
275,0.85,F,VS2,HRD,6805
57,0.56,I,VVS2,GIA,2892
126,1,G,VS2,GIA,9169
226,1,H,VVS2,IGI,9342
261,0.74,H,VVS1,HRD,5815
30,0.4,H,VS1,GIA,1525
238,0.56,F,VS1,HRD,3667
56,0.56,F,VS1,GIA,3667
6,0.31,E,VS1,GIA,1555
